300 train test
0.08453930720991795 98.302 62.7
0.07970616580618312 98.48 62.31
0.07578953677583533 98.066 62.33
0.07286735304900448 98.606 62.28
0.0700579216927671 98.624 62.83
0.06828611023971796 98.772 62.81
0.061952488301583876 98.858 62.43
0.05623949628771114 99.008 62.9
0.057096509258155625 99.3 63.16
0.052336084301514395 99.148 62.92
0.05216412049006013 98.968 62.72
0.04882037971178284 99.088 63.39
0.04555862872382564 99.332 63.34
0.04336703312404625 99.194 62.54
0.043134208635219835 99.356 62.65
0.041365214987941414 99.302 62.7
0.03991331788889892 99.412 62.75
0.03887947620180866 99.546 62.96
0.03841886496947854 99.172 63.08
0.03781415998001995 99.482 62.96
0.03510646801203718 99.514 63.3
0.033699685922059255 99.29 63.02
0.03479427958617125 99.47 63.61
0.03162290670377824 99.61 63.57
0.031075231645189588 99.594 63.45
0.026544608297231403 99.582 63.58
0.029700916212842897 99.572 63.89
0.026960410701725487 99.586 63.49
0.02606602146497468 99.568 63.39
0.02687508953959131 99.622 63.88
0.02537242456070145 99.714 63.79
0.028669172921753906 99.64 63.83
0.025998298717124384 99.652 64.1
0.024318240659163735 99.774 63.9
0.021371682443658408 99.718 63.52
0.022803907699482824 99.662 63.78
0.02103976847227577 99.738 63.93
0.01953444561308912 99.754 63.41
0.018617463071861535 99.734 63.68
0.019735849707785164 99.752 63.53
0.019103043076708494 99.722 63.94
0.020247878578236646 99.774 63.97
0.01886467622769306 99.81 64.17
0.01673706725258809 99.804 63.67
0.01634501602948474 99.824 63.9
0.017138424231801803 99.83 63.49
0.01852098767600401 99.736 63.26
0.018930293700617294 99.818 63.14
0.01769601543436346 99.814 63.73
0.016851548667606492 99.74 63.52
0.017711485452626064 99.85 63.79
0.014548394597990587 99.852 63.64
0.014496945499745019 99.842 64.17
0.013890955437575002 99.846 63.81
0.013584544448672659 99.908 63.97
0.012992023454640832 99.846 63.6
0.012932173059800703 99.824 63.48
0.01478571368052679 99.808 63.04
0.014136324496106113 99.854 63.76
0.014737695574646105 99.824 63.85
0.012809702378633383 99.87 63.92
0.011438335994701556 99.876 63.77
0.012287096451501103 99.86 63.56
0.010773383914624029 99.85 64.16
0.01174799915727066 99.872 63.93
0.01261948942042449 99.868 63.88
0.013286731108222776 99.89 63.69
0.010461584081315933 99.914 64.17
0.00989263728165718 99.924 64.49
0.01029939344986473 99.826 63.32
0.011943690566931996 99.882 64.14
0.009901223089688879 99.866 63.61
0.009424219789255001 99.904 64.13
0.011760280412786147 99.896 64.09
0.010990167886990568 99.894 64.3
0.010468494823521666 99.86 64.43
0.009966702631596104 99.908 64.4
0.009182168699591362 99.93 64.17
0.008375165193244015 99.92 64.42
0.007628093185403463 99.926 64.23
0.008455536621229729 99.894 64.42
0.008261489463955773 99.914 64.81
0.00860514954123122 99.874 64.3
0.01091110336658595 99.876 63.53
0.00861006365884143 99.9 63.92
0.008763256347011727 99.898 64.23
0.008119684420144924 99.92 64.23
0.007036716143703064 99.928 64.2
0.008179266485707153 99.86 64.11
0.008315333939345597 99.932 64.36
0.007540088636405252 99.922 64.27
0.006861661706129303 99.908 64.37
0.007399915688959382 99.916 63.86
0.007211265887807855 99.922 64.36
0.006251343690297183 99.954 64.47
0.007564290838740061 99.922 64.25
0.007552367775603329 99.936 64.13
0.0073118102367576735 99.94 64.48
0.006716955020842726 99.946 64.38
0.0066850631762191155 99.94 64.29
0.0068673461942416626 99.946 64.33
0.0064561736181645134 99.938 64.44
0.006630843629122085 99.878 64.31
0.0075101697653093755 99.936 64.39
0.005718968077407926 99.944 64.41
0.0064918725486949585 99.934 64.01
0.0064981569728964125 99.924 63.99
0.005914678068264671 99.932 64.6
0.005984656372205223 99.922 64.26
0.007441393192619314 99.772 63.34
0.009324662673198963 99.914 63.97
0.007768982343728204 99.944 64.45
0.005807629517277184 99.936 64.45
0.006299876861626763 99.944 63.96
0.005841531206036696 99.954 64.68
0.0048652466569962865 99.958 64.29
0.004874855596715075 99.942 64.46
0.00517921293835582 99.954 64.37
0.005618816919272285 99.948 64.1
0.006397541580231065 99.958 64.43
0.0050970323078925045 99.954 64.42
0.004612207536578483 99.94 64.73
0.005728319992342264 99.954 64.59
0.005467630892425128 99.936 64.04
0.0049773359735546365 99.942 64.52
0.004702276314425347 99.938 64.31
0.004502628633366598 99.952 64.46
0.0037962376882019633 99.95 64.74
0.00469804951882995 99.954 64.65
0.004679181417712318 99.946 64.18
0.004569126536016879 99.954 64.02
0.004381539121441676 99.968 64.46
0.004201900360443632 99.94 64.24
0.005281316921534136 99.928 64.3
0.004471079837006834 99.958 64.37
0.004481458631546601 99.956 64.67
0.003881527676039835 99.97 64.88
0.0042099088616192794 99.958 64.3
0.004918943947690832 99.938 64.62
0.00423625704196408 99.942 65.16
0.004501943091821411 99.958 63.71
0.003947435753762989 99.954 64.63
0.004242723526628426 99.942 64.35
0.004514931081829931 99.94 64.62
0.003921683140508735 99.958 64.63
0.003795418048115528 99.966 64.62
0.00383711992310422 99.954 64.65
0.0038622323699924344 99.954 64.61
0.0038729066462696664 99.94 64.63
0.0039024005460617183 99.958 64.6
0.0035338171762521464 99.964 64.77
0.0034551684470142206 99.962 65.1
0.003048858587460978 99.96 64.86
0.0031522083503510946 99.962 65.0
0.0033934353904374647 99.944 64.64
0.0037993450870599283 99.96 64.98
0.0034108536325090223 99.974 64.65
0.004299081549944018 99.94 64.43
0.003653215645762432 99.962 64.53
0.0031371936088909046 99.954 64.4
0.003209913573454103 99.968 64.93
0.002941337540326521 99.972 65.11
0.003083708661232058 99.97 64.71
0.0031107834044872495 99.956 64.54
0.0033320462762299555 99.972 64.78
0.0034581309579231815 99.952 64.66
0.004288793029382711 99.958 64.75
0.003758705492653048 99.958 64.71
0.0037845931375575493 99.952 64.48
0.003584215113514429 99.966 64.58
0.0028649251211358383 99.97 64.81
0.0030755363428569818 99.958 64.1
0.003041840621086833 99.962 64.98
0.0061386531005110925 99.892 63.81
0.0036591732745890116 99.95 64.52
0.0036223786490042803 99.97 64.65
0.003121507380281568 99.968 64.43
0.0038321769565267637 99.956 64.62
0.003299197875191946 99.972 64.72
0.003060724878031046 99.964 64.86
0.002940257644409414 99.974 64.61
0.003012633460866826 99.964 64.54
0.0031781998549914345 99.964 64.4
0.0027936644259068514 99.97 64.81
0.002914000014938852 99.966 64.83
0.0027724320897856334 99.966 64.31
0.0030809685473551836 99.954 64.3
0.002664132412318188 99.972 64.92
0.0027180595771240457 99.982 64.76
0.002864615844033868 99.976 64.95
0.002332590486142127 99.976 65.06
0.00267509152264813 99.968 65.08
0.002986863941487754 99.968 64.97
0.0026406426259014005 99.966 64.84
0.002688192852946651 99.972 64.79
0.002520559150773241 99.966 64.93
0.0028612929839364554 99.966 64.61
0.002814292149079959 99.964 64.87
0.0059262047488423415 99.958 64.94
0.004262447897868845 99.956 64.22
0.0031210897404633825 99.966 64.7
0.0028495061046936933 99.972 64.96
0.0028687370095468695 99.966 65.19
